timestamp_utc,date,price,in_stock
2026-07-13T22:46:54+00:00,2026-07-13,599.95,1
2026-07-13T22:56:19+00:00,2026-07-13,599.95,1
2026-07-14T10:57:44+00:00,2026-07-14,599.95,1
2026-07-14T18:48:23+00:00,2026-07-14,599.95,1
2026-07-15T11:03:32+00:00,2026-07-15,599.95,1
2026-07-15T18:46:56+00:00,2026-07-15,599.95,1
2026-07-16T11:14:04+00:00,2026-07-16,599.95,1
2026-07-16T18:48:16+00:00,2026-07-16,599.95,1
2026-07-17T10:59:30+00:00,2026-07-17,599.95,1
2026-07-17T18:41:31+00:00,2026-07-17,599.95,1
2026-07-18T10:43:16+00:00,2026-07-18,599.95,1
2026-07-18T18:37:53+00:00,2026-07-18,599.95,1
2026-07-19T10:46:33+00:00,2026-07-19,599.95,1
2026-07-19T18:39:34+00:00,2026-07-19,599.95,1
